INFORMAÇÕES DO GUI
Tempo: 0 sec
[IDbola:0(  rad: 3, mass: 3, x: 5, y: 5, vx: -2.01655, vy: 9.64419 );
IDbola:273(  rad: 1, mass: 8, x: 205, y: 7305, vx: -9.32149, vy: -9.15805 );
IDbola:274(  rad: 1, mass: 1, x: 205, y: 7405, vx: 5.83621, vy: 7.54158 );
IDbola:275(  rad: 2, mass: 10, x: 205, y: 7505, vx: 5.11841, vy: -6.83008 );
IDbola:276(  rad: 2, mass: 10, x: 205, y: 7605, vx: 8.22767, vy: -7.64263 );
IDbola:277(  rad: 1, mass: 6, x: 205, y: 7705, vx: -0.869742, vy: -1.85109 );
IDbola:278(  rad: 2, mass: 3, x: 205, y: 7805, vx: -4.40004, vy: -6.70955 );
IDbola:279(  rad: 2, mass: 3, x: 205, y: 7905, vx: -9.95006, vy: -0.292103 );
IDbola:280(  rad: 1, mass: 8, x: 205, y: 8005, vx: 6.92378, vy: -6.60279 );
IDbola:281(  rad: 3, mass: 7, x: 205, y: 8105, vx: 0.41264, vy: 3.2104 );
IDbola:282(  rad: 2, mass: 7, x: 205, y: 8205, vx: -2.29115, vy: 4.04768 );
IDbola:283(  rad: 2, mass: 10, x: 205, y: 8305, vx: -1.43768, vy: 7.51612 );
IDbola:284(  rad: 2, mass: 3, x: 205, y: 8405, vx: -7.83227, vy: -9.45176 );
IDbola:285(  rad: 3, mass: 10, x: 205, y: 8505, vx: 9.04026, vy: -3.60017 );
IDbola:286(  rad: 3, mass: 3, x: 205, y: 8605, vx: 4.99424, vy: -8.26612 );
IDbola:287(  rad: 2, mass: 3, x: 205, y: 8705, vx: -4.4952, vy: -2.7895 );
IDbola:288(  rad: 3, mass: 1, x: 205, y: 8805, vx: 8.97482, vy: 8.57311 );
IDbola:289(  rad: 1, mass: 8, x: 205, y: 8905, vx: -1.63791, vy: 8.48435 );
IDbola:290(  rad: 1, mass: 9, x: 205, y: 9005, vx: -7.48623, vy: 8.00549 );
IDbola:291(  rad: 2, mass: 9, x: 205, y: 9105, vx: 3.60316, vy: -5.49863 );
IDbola:292(  rad: 3, mass: 4, x: 205, y: 9205, vx: -8.01341, vy: 1.90842 );
IDbola:293(  rad: 3, mass: 6, x: 205, y: 9305, vx: -8.51247, vy: 5.15448 );
IDbola:294(  rad: 1, mass: 6, x: 205, y: 9405, vx: 2.02352, vy: 5.9521 );
IDbola:295(  rad: 3, mass: 9, x: 205, y: 9505, vx: -4.20172, vy: 9.3371 );
IDbola:296(  rad: 3, mass: 3, x: 205, y: 9605, vx: -1.97517, vy: -4.9374 );
IDbola:297(  rad: 1, mass: 1, x: 205, y: 9705, vx: 0.994942, vy: -8.96892 );
IDbola:298(  rad: 1, mass: 1, x: 205, y: 9805, vx: 6.23629, vy: -6.49968 );
IDbola:299(  rad: 3, mass: 4, x: 205, y: 9905, vx: -3.57192, vy: 0.158607 );
IDbola:300(  rad: 2, mass: 8, x: 305, y: 5, vx: 8.32465, vy: 9.72963 );
IDbola:301(  rad: 3, mass: 9, x: 305, y: 105, vx: -1.1553, vy: 5.71708 );
IDbola:302(  rad: 3, mass: 4, x: 305, y: 205, vx: -2.02268, vy: 5.65562 );
IDbola:303(  rad: 3, mass: 9, x: 305, y: 305, vx: -2.44186, vy: -2.08026 );
IDbola:304(  rad: 3, mass: 1, x: 305, y: 405, vx: 5.18024, vy: -5.21776 );
IDbola:305(  rad: 1, mass: 3, x: 305, y: 505, vx: 2.34023, vy: 5.8584 );
IDbola:306(  rad: 2, mass: 8, x: 305, y: 605, vx: 9.17932, vy: -4.18233 );
IDbola:307(  rad: 3, mass: 7, x: 305, y: 705, vx: 7.9575, vy: 2.81517 );
IDbola:308(  rad: 2, mass: 4, x: 305, y: 805, vx: 7.52881, vy: -6.62889 );
IDbola:309(  rad: 3, mass: 3, x: 305, y: 905, vx: -3.99237, vy: -6.99995 );
IDbola:310(  rad: 1, mass: 1, x: 305, y: 1005, vx: -6.6315, vy: -6.27965 );
IDbola:311(  rad: 2, mass: 5, x: 305, y: 1105, vx: -4.36875, vy: -2.86514 );
IDbola:312(  rad: 3, mass: 7, x: 305, y: 1205, vx: 2.13589, vy: -5.86674 );
IDbola:313(  rad: 2, mass: 9, x: 305, y: 1305, vx: -4.46055, vy: 4.82975 );
IDbola:314(  rad: 3, mass: 4, x: 305, y: 1405, vx: 0.231894, vy: -5.05377 );
IDbola:315(  rad: 3, mass: 2, x: 305, y: 1505, vx: 9.78923, vy: 8.58313 );
IDbola:316(  rad: 2, mass: 10, x: 305, y: 1605, vx: 1.74474, vy: 9.74228 );
IDbola:317(  rad: 3, mass: 1, x: 305, y: 1705, vx: 3.15576, vy: -0.481058 );
IDbola:318(  rad: 1, mass: 5, x: 305, y: 1805, vx: -6.45896, vy: 7.90663 );
IDbola:319(  rad: 2, mass: 8, x: 305, y: 1905, vx: 1.70989, vy: -2.3159 );
IDbola:320(  rad: 2, mass: 1, x: 305, y: 2005, vx: 0.475036, vy: 7.23213 );
IDbola:321(  rad: 2, mass: 9, x: 305, y: 2105, vx: -6.60326, vy: 2.04455 );
IDbola:322(  rad: 2, mass: 6, x: 305, y: 2205, vx: 2.21967, vy: -5.34888 );
IDbola:323(  rad: 3, mass: 10, x: 305, y: 2305, vx: -6.45301, vy: -8.78811 );
IDbola:324(  rad: 2, mass: 4, x: 305, y: 2405, vx: -8.10175, vy: 1.26564 );
IDbola:325(  rad: 1, mass: 10, x: 305, y: 2505, vx: 1.13061, vy: -2.5403 );
IDbola:326(  rad: 2, mass: 1, x: 305, y: 2605, vx: 5.70934, vy: 9.06947 );
IDbola:327(  rad: 1, mass: 2, x: 305, y: 2705, vx: -6.82837, vy: 6.35979 );
IDbola:328(  rad: 1, mass: 6, x: 305, y: 2805, vx: -6.22944, vy: 9.15975 );
IDbola:329(  rad: 2, mass: 10, x: 305, y: 2905, vx: 5.08048, vy: -5.64984 );
IDbola:330(  rad: 3, mass: 7, x: 305, y: 3005, vx: -3.93754, vy: 9.57805 );
IDbola:331(  rad: 3, mass: 1, x: 305, y: 3105, vx: -2.36616, vy: -3.6854 );
IDbola:332(  rad: 1, mass: 6, x: 305, y: 3205, vx: -6.29454, vy: 8.89549 );
IDbola:333(  rad: 3, mass: 2, x: 305, y: 3305, vx: 0.255707, vy: -4.06604 );
IDbola:334(  rad: 2, mass: 10, x: 305, y: 3405, vx: -5.24275, vy: 6.0118 );
IDbola:335(  rad: 1, mass: 1, x: 305, y: 3505, vx: 8.94998, vy: -0.90132 );
IDbola:336(  rad: 2, mass: 4, x: 305, y: 3605, vx: 6.9276, vy: -7.74361 );
IDbola:337(  rad: 3, mass: 9, x: 305, y: 3705, vx: 4.9436, vy: -5.25791 );
IDbola:338(  rad: 1, mass: 5, x: 305, y: 3805, vx: 2.15695, vy: 4.62744 );
IDbola:339(  rad: 2, mass: 5, x: 305, y: 3905, vx: -8.56729, vy: 3.54257 );
IDbola:340(  rad: 3, mass: 7, x: 305, y: 4005, vx: -0.671525, vy: -4.71185 );
IDbola:341(  rad: 3, mass: 6, x: 305, y: 4105, vx: 7.24902, vy: 9.68762 );
IDbola:342(  rad: 1, mass: 3, x: 305, y: 4205, vx: 6.44789, vy: 4.68997 );
IDbola:343(  rad: 3, mass: 3, x: 305, y: 4305, vx: 6.05675, vy: 2.38191 );
IDbola:344(  rad: 3, mass: 10, x: 305, y: 4405, vx: 5.17546, vy: 0.133472 );
IDbola:345(  rad: 3, mass: 3, x: 305, y: 4505, vx: 3.71414, vy: -3.77556 );
IDbola:346(  rad: 1, mass: 5, x: 305, y: 4605, vx: -6.03838, vy: -8.00909 );
IDbola:347(  rad: 1, mass: 3, x: 305, y: 4705, vx: -0.765662, vy: -3.67623 );
IDbola:348(  rad: 1, mass: 4, x: 305, y: 4805, vx: 8.15026, vy: 7.58647 );
IDbola:349(  rad: 1, mass: 7, x: 305, y: 4905, vx: 3.88649, vy: -6.81676 );
IDbola:350(  rad: 2, mass: 7, x: 305, y: 5005, vx: -9.84724, vy: -1.63344 );
IDbola:351(  rad: 2, mass: 6, x: 305, y: 5105, vx: 3.87454, vy: -8.9366 );
IDbola:352(  rad: 1, mass: 3, x: 305, y: 5205, vx: -9.14666, vy: -4.62763 );
IDbola:353(  rad: 2, mass: 6, x: 305, y: 5305, vx: 9.39141, vy: 0.603223 );
IDbola:354(  rad: 1, mass: 10, x: 305, y: 5405, vx: 2.13791, vy: -9.27058 );
IDbola:355(  rad: 2, mass: 7, x: 305, y: 5505, vx: 8.91274, vy: -6.69236 );
IDbola:356(  rad: 2, mass: 10, x: 305, y: 5605, vx: 0.944774, vy: 3.7928 );
IDbola:357(  rad: 2, mass: 6, x: 305, y: 5705, vx: -5.63696, vy: 0.980923 );
IDbola:358(  rad: 3, mass: 8, x: 305, y: 5805, vx: -9.73852, vy: -2.95479 );
IDbola:359(  rad: 2, mass: 9, x: 305, y: 5905, vx: -6.13461, vy: 7.19903 );
IDbola:360(  rad: 3, mass: 7, x: 305, y: 6005, vx: -6.22504, vy: -9.71779 );
IDbola:361(  rad: 1, mass: 3, x: 305, y: 6105, vx: 8.21225, vy: 3.13437 );
IDbola:362(  rad: 2, mass: 2, x: 305, y: 6205, vx: -0.011087, vy: -6.46079 );
IDbola:363(  rad: 3, mass: 4, x: 305, y: 6305, vx: 6.45667, vy: -8.64013 );
IDbola:364(  rad: 2, mass: 1, x: 305, y: 6405, vx: 7.02709, vy: 3.49055 );
IDbola:365(  rad: 1, mass: 2, x: 305, y: 6505, vx: 9.6977, vy: 8.56984 );
IDbola:366(  rad: 1, mass: 9, x: 305, y: 6605, vx: 8.20757, vy: -4.71702 );
IDbola:367(  rad: 3, mass: 5, x: 305, y: 6705, vx: -0.293675, vy: 1.47619 );
IDbola:368(  rad: 1, mass: 7, x: 305, y: 6805, vx: 8.03299, vy: 3.54011 );
IDbola:369(  rad: 1, mass: 6, x: 305, y: 6905, vx: -2.15104, vy: 9.98351 );
IDbola:370(  rad: 1, mass: 4, x: 305, y: 7005, vx: -5.33106, vy: -2.18367 );
IDbola:371(  rad: 1, mass: 10, x: 305, y: 7105, vx: -0.971918, vy: -7.91443 );
IDbola:372(  rad: 2, mass: 6, x: 305, y: 7205, vx: -4.5125, vy: 6.08548 );
IDbola:373(  rad: 1, mass: 6, x: 305, y: 7305, vx: 7.80813, vy: 8.42976 );
IDbola:374(  rad: 3, mass: 1, x: 305, y: 7405, vx: -2.4721, vy: 0.138882 );
IDbola:375(  rad: 3, mass: 4, x: 305, y: 7505, vx: 4.16267, vy: -8.91862 );
IDbola:376(  rad: 1, mass: 8, x: 305, y: 7605, vx: -8.85968, vy: 2.02103 );
IDbola:377(  rad: 2, mass: 8, x: 305, y: 7705, vx: 8.02906, vy: 5.89862 );
IDbola:378(  rad: 3, mass: 10, x: 305, y: 7805, vx: 8.86802, vy: 1.26244 );
IDbola:379(  rad: 2, mass: 9, x: 305, y: 7905, vx: -8.83229, vy: 4.88 );
IDbola:380(  rad: 1, mass: 2, x: 305, y: 8005, vx: 5.27032, vy: -4.70671 );
IDbola:381(  rad: 3, mass: 4, x: 305, y: 8105, vx: 1.7473, vy: -8.18162 );
IDbola:382(  rad: 2, mass: 10, x: 305, y: 8205, vx: 7.4251, vy: 5.04827 );
IDbola:383(  rad: 2, mass: 7, x: 305, y: 8305, vx: 3.0659, vy: -6.50664 );
IDbola:384(  rad: 1, mass: 8, x: 305, y: 8405, vx: -0.116789, vy: 4.25227 );
IDbola:385(  rad: 2, mass: 5, x: 305, y: 8505, vx: -0.858539, vy: -7.19949 );
IDbola:386(  rad: 1, mass: 5, x: 305, y: 8605, vx: -9.02377, vy: -3.98036 );
IDbola:387(  rad: 2, mass: 5, x: 305, y: 8705, vx: 7.94805, vy: 7.27005 );
IDbola:388(  rad: 3, mass: 5, x: 305, y: 8805, vx: 8.30623, vy: 4.51411 );
IDbola:389(  rad: 3, mass: 9, x: 305, y: 8905, vx: 4.70858, vy: 3.7578 );
IDbola:390(  rad: 2, mass: 1, x: 305, y: 9005, vx: -3.32703, vy: 9.4101 );
IDbola:391(  rad: 3, mass: 10, x: 305, y: 9105, vx: -4.59869, vy: -6.78453 );
IDbola:392(  rad: 2, mass: 3, x: 305, y: 9205, vx: 5.91707, vy: 5.7307 );
IDbola:393(  rad: 3, mass: 10, x: 305, y: 9305, vx: 5.47642, vy: -6.05667 );
IDbola:394(  rad: 3, mass: 8, x: 305, y: 9405, vx: -5.19819, vy: -6.79134 );
IDbola:395(  rad: 3, mass: 1, x: 305, y: 9505, vx: -0.37891, vy: -5.93108 );
IDbola:396(  rad: 1, mass: 5, x: 305, y: 9605, vx: -6.74748, vy: -2.69166 );
IDbola:397(  rad: 2, mass: 8, x: 305, y: 9705, vx: 1.39399, vy: 7.26319 );
IDbola:398(  rad: 1, mass: 3, x: 305, y: 9805, vx: 5.25146, vy: -6.39654 );
IDbola:399(  rad: 2, mass: 9, x: 305, y: 9905, vx: -3.55715, vy: -0.937708 );
IDbola:400(  rad: 2, mass: 7, x: 405, y: 5, vx: 9.78565, vy: 8.24157 );
IDbola:401(  rad: 2, mass: 5, x: 405, y: 105, vx: 2.8988, vy: 8.401 );
IDbola:402(  rad: 2, mass: 3, x: 405, y: 205, vx: -3.52189, vy: -9.76766 );
IDbola:403(  rad: 2, mass: 10, x: 405, y: 305, vx: 7.38513, vy: -4.16855 );
IDbola:404(  rad: 1, mass: 3, x: 405, y: 405, vx: -1.41146, vy: 5.55593 );
IDbola:405(  rad: 1, mass: 4, x: 405, y: 505, vx: -7.47124, vy: -7.47062 );
IDbola:406(  rad: 1, mass: 6, x: 405, y: 605, vx: -4.7589, vy: 1.8421 );
IDbola:407(  rad: 1, mass: 9, x: 405, y: 705, vx: 7.51171, vy: 5.58539 );
IDbola:408(  rad: 1, mass: 4, x: 405, y: 805, vx: 2.06909, vy: 0.559917 );
IDbola:409(  rad: 1, mass: 4, x: 405, y: 905, vx: -1.1013, vy: 2.85738 );
IDbola:410(  rad: 2, mass: 1, x: 405, y: 1005, vx: -3.72244, vy: -9.09547 );
IDbola:411(  rad: 1, mass: 6, x: 405, y: 1105, vx: -4.07075, vy: 9.50411 );
IDbola:412(  rad: 1, mass: 10, x: 405, y: 1205, vx: 6.58225, vy: 3.66691 );
IDbola:413(  rad: 3, mass: 9, x: 405, y: 1305, vx: 8.65545, vy: -0.0150588 );
IDbola:414(  rad: 3, mass: 4, x: 405, y: 1405, vx: -3.29958, vy: -7.14548 );
IDbola:415(  rad: 1, mass: 4, x: 405, y: 1505, vx: -6.63585, vy: 0.612009 );
IDbola:416(  rad: 3, mass: 1, x: 405, y: 1605, vx: -7.80372, vy: 2.35694 );
IDbola:417(  rad: 2, mass: 5, x: 405, y: 1705, vx: 8.56643, vy: 9.51525 );
IDbola:418(  rad: 3, mass: 5, x: 405, y: 1805, vx: -7.67854, vy: 0.0758548 );
IDbola:419(  rad: 1, mass: 1, x: 405, y: 1905, vx: -0.462239, vy: 7.20357 );
IDbola:420(  rad: 2, mass: 7, x: 405, y: 2005, vx: -8.02139, vy: -2.82975 );
IDbola:421(  rad: 1, mass: 10, x: 405, y: 2105, vx: 4.83323, vy: 3.38632 );
IDbola:422(  rad: 1, mass: 6, x: 405, y: 2205, vx: -7.79786, vy: 1.47913 );
IDbola:423(  rad: 1, mass: 6, x: 405, y: 2305, vx: -4.55811, vy: 4.96188 );
IDbola:424(  rad: 2, mass: 3, x: 405, y: 2405, vx: 2.59513, vy: 7.18621 );
IDbola:425(  rad: 2, mass: 7, x: 405, y: 2505, vx: 4.73833, vy: -7.73106 );
IDbola:426(  rad: 2, mass: 7, x: 405, y: 2605, vx: 7.82563, vy: -2.60233 );
IDbola:427(  rad: 3, mass: 6, x: 405, y: 2705, vx: 5.97906, vy: 9.60646 );
IDbola:428(  rad: 1, mass: 4, x: 405, y: 2805, vx: 0.862934, vy: -2.81153 );
IDbola:429(  rad: 1, mass: 7, x: 405, y: 2905, vx: -5.30156, vy: -5.09541 );
IDbola:430(  rad: 3, mass: 4, x: 405, y: 3005, vx: 6.06328, vy: -9.44137 );
IDbola:431(  rad: 2, mass: 2, x: 405, y: 3105, vx: -9.84858, vy: -3.65925 );
IDbola:432(  rad: 1, mass: 10, x: 405, y: 3205, vx: 9.88124, vy: -4.9632 );
IDbola:433(  rad: 3, mass: 1, x: 405, y: 3305, vx: -4.69847, vy: 1.61815 );
IDbola:434(  rad: 3, mass: 10, x: 405, y: 3405, vx: 2.3822, vy: -0.365094 );
IDbola:435(  rad: 1, mass: 9, x: 405, y: 3505, vx: -4.2486, vy: 1.73091 );
IDbola:436(  rad: 1, mass: 3, x: 405, y: 3605, vx: -1.29165, vy: -9.65568 );
IDbola:437(  rad: 2, mass: 2, x: 405, y: 3705, vx: 9.40583, vy: -2.94023 );
IDbola:438(  rad: 3, mass: 5, x: 405, y: 3805, vx: 6.41805, vy: 7.85782 );
IDbola:439(  rad: 2, mass: 10, x: 405, y: 3905, vx: 0.0886528, vy: 2.68342 );
IDbola:440(  rad: 1, mass: 2, x: 405, y: 4005, vx: -0.617609, vy: 1.54073 );
IDbola:441(  rad: 2, mass: 7, x: 405, y: 4105, vx: 7.06794, vy: 5.06881 );
IDbola:442(  rad: 1, mass: 4, x: 405, y: 4205, vx: -7.40984, vy: 3.14794 );
IDbola:443(  rad: 1, mass: 7, x: 405, y: 4305, vx: 8.42515, vy: 9.05192 );
IDbola:444(  rad: 1, mass: 9, x: 405, y: 4405, vx: 4.29887, vy: -9.69362 );
IDbola:445(  rad: 3, mass: 1, x: 405, y: 4505, vx: 9.12541, vy: 6.94843 );
IDbola:446(  rad: 2, mass: 2, x: 405, y: 4605, vx: 8.46242, vy: 2.55343 );
IDbola:447(  rad: 3, mass: 1, x: 405, y: 4705, vx: -1.75553, vy: 8.56167 );
IDbola:448(  rad: 3, mass: 6, x: 405, y: 4805, vx: -6.9666, vy: 0.157299 );
IDbola:449(  rad: 2, mass: 9, x: 405, y: 4905, vx: -8.81003, vy: -9.87448 );
IDbola:450(  rad: 2, mass: 10, x: 405, y: 5005, vx: 9.90842, vy: 5.32606 );
IDbola:451(  rad: 3, mass: 4, x: 405, y: 5105, vx: -0.180119, vy: 1.54496 );
IDbola:452(  rad: 3, mass: 6, x: 405, y: 5205, vx: -5.72536, vy: -5.07969 );
IDbola:453(  rad: 3, mass: 1, x: 405, y: 5305, vx: -8.5509, vy: 3.81993 );
IDbola:454(  rad: 2, mass: 9, x: 405, y: 5405, vx: -4.29646, vy: 6.24053 );
IDbola:455(  rad: 3, mass: 10, x: 405, y: 5505, vx: 4.90114, vy: 9.4409 );
IDbola:456(  rad: 3, mass: 9, x: 405, y: 5605, vx: 8.4618, vy: -7.20201 );
IDbola:457(  rad: 2, mass: 4, x: 405, y: 5705, vx: -1.76407, vy: -7.37206 );
IDbola:458(  rad: 1, mass: 5, x: 405, y: 5805, vx: 3.0866, vy: -1.99238 );
IDbola:459(  rad: 2, mass: 5, x: 405, y: 5905, vx: -4.0775, vy: -8.58832 );
IDbola:460(  rad: 1, mass: 1, x: 405, y: 6005, vx: 4.4403, vy: -3.83948 );
IDbola:461(  rad: 3, mass: 3, x: 405, y: 6105, vx: 4.21747, vy: -6.36266 );
IDbola:462(  rad: 2, mass: 9, x: 405, y: 6205, vx: 2.12962, vy: -2.78765 );
IDbola:463(  rad: 3, mass: 2, x: 405, y: 6305, vx: 3.97977, vy: -0.822707 );
IDbola:464(  rad: 1, mass: 4, x: 405, y: 6405, vx: 6.37386, vy: -6.90526 );
IDbola:465(  rad: 2, mass: 2, x: 405, y: 6505, vx: -2.01373, vy: 0.568592 );
IDbola:466(  rad: 1, mass: 6, x: 405, y: 6605, vx: 1.94422, vy: 1.94144 );
IDbola:467(  rad: 2, mass: 7, x: 405, y: 6705, vx: -3.45414, vy: -8.99485 );
IDbola:468(  rad: 2, mass: 4, x: 405, y: 6805, vx: -1.68535, vy: 6.69765 );
IDbola:469(  rad: 3, mass: 4, x: 405, y: 6905, vx: 3.93332, vy: 2.43251 );
IDbola:470(  rad: 3, mass: 2, x: 405, y: 7005, vx: -1.92868, vy: 1.25722 );
IDbola:471(  rad: 3, mass: 1, x: 405, y: 7105, vx: -8.15859, vy: -8.70595 );
IDbola:472(  rad: 1, mass: 4, x: 405, y: 7205, vx: -2.12598, vy: -9.1988 );
IDbola:473(  rad: 2, mass: 6, x: 405, y: 7305, vx: 4.10496, vy: -1.51768 );
IDbola:474(  rad: 3, mass: 2, x: 405, y: 7405, vx: 6.52571, vy: 8.13419 );
IDbola:475(  rad: 3, mass: 1, x: 405, y: 7505, vx: -4.33098, vy: 5.02138 );
IDbola:476(  rad: 3, mass: 4, x: 405, y: 7605, vx: 2.43054, vy: -9.66669 );
IDbola:477(  rad: 1, mass: 6, x: 405, y: 7705, vx: 3.64422, vy: -4.78186 );
IDbola:478(  rad: 3, mass: 8, x: 405, y: 7805, vx: 5.75537, vy: -4.40432 );
IDbola:479(  rad: 3, mass: 3, x: 405, y: 7905, vx: -5.75824, vy: -0.779371 );
IDbola:480(  rad: 3, mass: 1, x: 405, y: 8005, vx: 8.32462, vy: 8.10538 );
IDbola:481(  rad: 2, mass: 9, x: 405, y: 8105, vx: 4.54702, vy: -1.27231 );
IDbola:482(  rad: 2, mass: 7, x: 405, y: 8205, vx: -6.8626, vy: -1.46279 );
IDbola:483(  rad: 3, mass: 6, x: 405, y: 8305, vx: -0.623012, vy: -2.49604 );
IDbola:484(  rad: 2, mass: 4, x: 405, y: 8405, vx: 4.71143, vy: -6.46519 );
IDbola:485(  rad: 2, mass: 7, x: 405, y: 8505, vx: -2.6381, vy: 2.47657 );
IDbola:486(  rad: 2, mass: 6, x: 405, y: 8605, vx: 7.00445, vy: 1.62615 );
IDbola:487(  rad: 2, mass: 4, x: 405, y: 8705, vx: -8.31344, vy: -0.189493 );
IDbola:488(  rad: 1, mass: 7, x: 405, y: 8805, vx: -4.42008, vy: 0.638019 );
IDbola:489(  rad: 1, mass: 8, x: 405, y: 8905, vx: 4.3817, vy: 9.30968 );
IDbola:490(  rad: 1, mass: 6, x: 405, y: 9005, vx: -9.8992, vy: -7.3421 );
IDbola:491(  rad: 2, mass: 2, x: 405, y: 9105, vx: 1.595, vy: -2.15762 );
IDbola:492(  rad: 1, mass: 5, x: 405, y: 9205, vx: -9.51354, vy: -5.79503 );
IDbola:493(  rad: 3, mass: 10, x: 405, y: 9305, vx: -9.95145, vy: -1.68834 );
IDbola:494(  rad: 1, mass: 1, x: 405, y: 9405, vx: -9.67715, vy: -3.29794 );
IDbola:495(  rad: 3, mass: 2, x: 405, y: 9505, vx: -8.6595, vy: 3.31133 );
IDbola:496(  rad: 1, mass: 9, x: 405, y: 9605, vx: -3.60374, vy: -2.44776 );
IDbola:497(  rad: 2, mass: 6, x: 405, y: 9705, vx: 6.64706, vy: 8.7093 );
IDbola:498(  rad: 1, mass: 8, x: 405, y: 9805, vx: 9.31861, vy: 9.86931 );
IDbola:499(  rad: 1, mass: 9, x: 405, y: 9905, vx: 0.165745, vy: -9.22192 );
IDbola:500(  rad: 2, mass: 4, x: 505, y: 5, vx: 9.41031, vy: 2.75238 );
IDbola:501(  rad: 1, mass: 3, x: 505, y: 105, vx: -8.75293, vy: -8.75035 );
IDbola:502(  rad: 1, mass: 10, x: 505, y: 205, vx: 2.05858, vy: -2.36195 );
IDbola:503(  rad: 2, mass: 6, x: 505, y: 305, vx: 0.119105, vy: -9.32263 );
IDbola:504(  rad: 1, mass: 1, x: 505, y: 405, vx: -3.71876, vy: -6.4195 );
IDbola:505(  rad: 3, mass: 9, x: 505, y: 505, vx: -5.49813, vy: 0.561877 );
IDbola:506(  rad: 3, mass: 10, x: 505, y: 605, vx: 1.17365, vy: -8.02584 );
IDbola:507(  rad: 3, mass: 2, x: 505, y: 705, vx: -0.785916, vy: -6.05363 );
IDbola:508(  rad: 1, mass: 4, x: 505, y: 805, vx: 3.02129, vy: 2.20111 );
IDbola:509(  rad: 3, mass: 7, x: 505, y: 905, vx: -6.48346, vy: -0.214912 );
IDbola:510(  rad: 3, mass: 9, x: 505, y: 1005, vx: -4.48555, vy: 1.78805 );
IDbola:511(  rad: 1, mass: 10, x: 505, y: 1105, vx: -0.0262593, vy: 3.45634 );
IDbola:512(  rad: 3, mass: 1, x: 505, y: 1205, vx: 2.44179, vy: 2.31275 );
IDbola:513(  rad: 3, mass: 1, x: 505, y: 1305, vx: 4.24895, vy: 7.62662 );
IDbola:514(  rad: 2, mass: 10, x: 505, y: 1405, vx: 1.60953, vy: -7.47763 );
IDbola:515(  rad: 3, mass: 5, x: 505, y: 1505, vx: -3.01724, vy: -2.47823 );
IDbola:516(  rad: 1, mass: 2, x: 505, y: 1605, vx: -0.262258, vy: 2.28578 );
IDbola:517(  rad: 3, mass: 9, x: 505, y: 1705, vx: 8.31821, vy: -9.0276 );
IDbola:518(  rad: 2, mass: 10, x: 505, y: 1805, vx: -8.66779, vy: 4.15274 );
IDbola:519(  rad: 2, mass: 4, x: 505, y: 1905, vx: 6.5835, vy: 3.90759 );
IDbola:520(  rad: 3, mass: 7, x: 505, y: 2005, vx: -1.80934, vy: 6.89685 );
IDbola:521(  rad: 3, mass: 7, x: 505, y: 2105, vx: -5.25479, vy: -2.33358 );
IDbola:522(  rad: 1, mass: 5, x: 505, y: 2205, vx: -8.27406, vy: 0.68323 );
IDbola:523(  rad: 3, mass: 2, x: 505, y: 2305, vx: 3.61866, vy: 7.70586 );
IDbola:524(  rad: 3, mass: 10, x: 505, y: 2405, vx: -3.53117, vy: -5.39185 );
IDbola:525(  rad: 3, mass: 3, x: 505, y: 2505, vx: 1.11218, vy: 0.380718 );
IDbola:526(  rad: 3, mass: 9, x: 505, y: 2605, vx: 0.378597, vy: -3.69603 );
IDbola:527(  rad: 3, mass: 4, x: 505, y: 2705, vx: 9.04083, vy: 7.02252 );
IDbola:528(  rad: 2, mass: 9, x: 505, y: 2805, vx: 2.83071, vy: 4.84322 );
IDbola:529(  rad: 3, mass: 4, x: 505, y: 2905, vx: -6.91282, vy: -6.52292 );
IDbola:530(  rad: 2, mass: 2, x: 505, y: 3005, vx: -9.56743, vy: 9.20468 );
IDbola:531(  rad: 3, mass: 7, x: 505, y: 3105, vx: 6.83921, vy: -2.3659 );
IDbola:532(  rad: 2, mass: 2, x: 505, y: 3205, vx: -4.89826, vy: -3.80608 );
IDbola:533(  rad: 2, mass: 9, x: 505, y: 3305, vx: -7.76795, vy: -8.66914 );
IDbola:534(  rad: 1, mass: 5, x: 505, y: 3405, vx: -4.41567, vy: 9.35442 );
IDbola:535(  rad: 1, mass: 10, x: 505, y: 3505, vx: -8.1927, vy: -5.94999 );
IDbola:536(  rad: 1, mass: 7, x: 505, y: 3605, vx: -2.36743, vy: 1.01295 );
IDbola:537(  rad: 1, mass: 5, x: 505, y: 3705, vx: -8.04594, vy: -6.67135 );
IDbola:538(  rad: 1, mass: 2, x: 505, y: 3805, vx: -8.45984, vy: 3.07929 );
IDbola:539(  rad: 2, mass: 2, x: 505, y: 3905, vx: 4.32005, vy: -9.47545 );
IDbola:540(  rad: 3, mass: 2, x: 505, y: 4005, vx: -0.0637638, vy: -0.509066 );
IDbola:541(  rad: 2, mass: 1, x: 505, y: 4105, vx: -2.95481, vy: 3.81494 );
IDbola:542(  rad: 3, mass: 6, x: 505, y: 4205, vx: -5.71151, vy: 0.402289 );
IDbola:543(  rad: 1, mass: 2, x: 505, y: 4305, vx: 6.7617, vy: 1.71588 );
IDbola:544(  rad: 2, mass: 3, x: 505, y: 4405, vx: 0.504626, vy: -5.48699 );
IDbola:545(  rad: 2, mass: 2, x: 505, y: 4505, vx: -0.250464, vy: 0.540855 );
